"Timestamp","ax","ay","az"
1,4671.33785590403,-2192.85967986703,-1630.57212928169
2,4445.50821399932,-1914.09994568486,-1695.93442525024
3,4175.61405713113,-1625.95870242763,-1710.48452688716
4,3876.48205959561,-1335.60555247508,-1683.09271533859
5,3560.7628368652,-1049.02770709164,-1622.07844752629
6,3239.07566602229,-771.108704727939,-1535.20123440071
7,2920.15320619287,-505.707129322282,-1429.65151919414
8,2610.9862189802,-255.735328602174,-1312.04155567378
9,2316.9682888984,-23.2381323858047,-1188.39628639491
10,2042.04054380612,190.528429116452,-1064.14422095394
11,1788.8363753402,385.018407000536,-944.108314241579
12,1558.8261593493,560.317215367206,-832.496844695918
13,1352.46197632754,717.062913020537,-732.894292555554
14,1169.32233184814,856.367485166428,-648.252218112704
15,1008.2568769971,979.738125111096,-580.880139966318
16,867.531128806782,1088.99851595958,-532.436413275192
17,744.971190689628,1186.21011231426,-503.919108011085
18,638.108472871743,1273.5934219733,-495.656887211829
19,544.324412826572,1353.44928762925,-507.299885234449
20,460.995195708533,1428.08016856744,-537.810586008269
21,385.636474786666,1499.71142236456,-585.454701288033
22,316.048091878275,1570.41258658711,-647.792048907017
23,250.458797782573,1642.01866048994,-721.667431030142
24,187.670972714326,1716.05138671474,-803.201512407088
25,127.205346737498,1793.64053298851,-887.78169862541
26,69.4457201988978,1875.44517382211,-970.053014363649
27,15.7836841618165,1961.57497220874,-1043.90898164445
28,-31.2366591603206,2051.51146132243,-1102.48249808768
29,-67.7739759703136,2144.02932621655,-1138.13671516351
30,-88.5449804535434,2237.11768552233,-1142.4559164456
31,-86.6797143443253,2327.90137314734,-1106.23639586412
32,-53.5768264922679,2412.56221997398,-1019.47733595895
33,77.8539576365666,2473.16527313267,-1003.88723522854
34,298.117401439141,2400.61472585386,-950.452285395765
35,397.890422620857,2343.4747187595,-869.249483125571
36,426.370548292287,2291.85383601905,-778.217796696058
37,421.216723474847,2238.43056306775,-690.642725885861
38,409.885625130019,2178.14809972636,-615.721900753709
39,410.967976188571,2107.90917332096,-559.130680417981
40,435.52485957978,2026.27085180266,-523.587751836265
41,488.424032260646,1933.13935686739,-509.420728584917
42,569.676239245118,1829.46487707563,-515.131749638615
43,675.771527633313,1716.93638097219,-537.963078149921
44,801.015560640732,1597.67643020595,-574.462700228833
45,938.865931627488,1473.93599264961,-621.04992372235
46,1083.26847812752,1347.78925551946,-674.580976994021
47,1229.99359587781,1220.82843849514,-732.91460770351
48,1377.97255284761,1093.85860683938,-795.477681586149
49,1530.63380326767,966.59248451777,-863.830781232498
50,1697.23930165944,837.345267318494,-942.233804867901
51,1894.2208168643,702.729435972113,-1038.21156513205
52,2146.51624607277,557.349569271308,-1163.11938785852
53,2488.90592885376,393.497157190635,-1332.70871085436
54,2967.34896118374,200.845414006283,-1567.69268267964
55,3640.31950947603,-33.8559085841698,-1894.31176142698
56,4074.98093058734,-408.338672768883,-2199.85236807434
57,4446.99703863239,-780.02584466281,-2469.50458277757
58,4824.06342262305,-1046.01202494728,-2770.98139763499
59,5176.58484766904,-1297.08487010365,-3093.79683019453
60,5484.18239332346,-1587.9885583524,-3423.88317894247
61,5734.45750713593,-1943.22566794717,-3744.92803418594
62,5921.75605820572,-2362.85905546869,-4039.71128893541
63,6045.93239073485,-2828.31373411889,-4291.44214978722
64,6111.11337758127,-3308.1787520148,-4485.09614780607
65,6124.46247381192,-3764.00907048262,-4608.75214940756
66,6094.94377025586,-4156.1274423517,-4654.92936724065
67,6032.08604705744,-4449.42629024854,-4621.92437107022
68,5944.7468272294,-4619.16958489081,-4515.14809865954
69,5839.87643020595,-4656.79472338134,-4348.4628666528
70,5721.28202539597,-4575.71440750213,-4145.5193814576
71,5588.39168573608,-4417.11852200835,-3941.09375012747
72,5435.01844124377,-4255.77601292233,-3782.42449124439
73,5248.12433257056,-4205.83676582761,-3730.54954580126
74,5080.99054505006,-4043.08566617229,-3547.25928500803
75,4843.62862820038,-3949.33415808638,-3366.72207723682
76,4583.12532348383,-3847.68989404181,-3189.30231002158
77,4309.9281138587,-3736.08658813687,-3011.0551686109
78,4032.44810952671,-3613.73989306009,-2829.26490743462
