instructions executed,Euclidean-2D e=100,instructions executed,Euclidean-2D e=100/sqrt(2),instructions executed,Euclidean-3D e=100,instructions executed,Euclidean-3D e=100/sqrt(3),,instructions executed,Infinity 3D,instructions executed,Infinity 2D
0,0,0,0,0,0,0,0,,0,0,0,0
172062,24,172062,24,172077,32,172077,32,,168344,24,168344,32
177599,72,179783,24,181730,96,179691,32,,168403,48,168402,64
189463,24,188231,24,186808,32,189467,32,,168470,80,168470,112
197762,0,198652,0,194860,32,194355,32,,458383,80,559852,112
201986,0,202927,48,199748,32,202755,0,,458383,56,559852,80
210818,0,209771,48,206315,0,213325,128,,458414,32,559883,48
216158,0,217624,0,211203,0,222772,0,,458445,0,559914,0
224606,0,221848,0,218646,64,232548,0,,,,,
230114,72,230937,144,228061,0,242324,0,,,,,
239022,24,237011,0,234782,0,252100,0,,,,,
249443,0,247043,0,239672,64,261876,0,,,,,
257891,0,251267,0,248959,0,267232,32,,,,,
263351,0,258788,24,258735,0,277008,32,,,,,
275678,144,267513,24,263623,0,288130,32,,,,,
286754,0,272228,24,270331,64,297752,0,,,,,
294136,0,280416,0,277488,0,309831,192,,,,,
300462,0,285825,24,286382,64,314734,64,,,,,
311551,0,294273,24,292780,0,324422,0,,,,,
320054,48,301955,72,302556,0,334198,0,,,,,
326464,24,306524,0,312332,0,343974,0,,,,,
333122,0,312860,0,317772,64,350821,64,,,,,
344199,96,319196,0,326280,64,359738,0,,,,,
352940,120,328669,0,335968,0,364940,64,,,,,
361950,48,338103,0,345744,0,374628,0,,,,,
372900,48,344363,0,355520,0,379516,0,,,,,
379689,0,350913,48,361980,96,386835,64,,,,,
388444,48,355441,0,366104,96,395825,0,,,,,
399700,48,361777,0,374866,256,405798,64,,,,,
410686,0,368113,0,380149,0,413042,0,,,,,
417312,48,376047,72,385676,32,419152,0,,,,,
424121,48,385966,0,390564,32,428020,0,,,,,
430864,48,391291,48,398005,32,434342,64,,,,,
437709,48,399279,24,407839,64,440670,64,,,,,
444488,24,407189,24,412840,64,449860,0,,,,,
454646,48,412520,0,418078,0,455970,0,,,,,
461649,48,420562,48,422966,0,462080,0,,,,,
472020,0,426195,24,428055,64,468450,0,,,,,
478874,0,436724,24,435423,0,474560,0,,,,,
485772,48,442004,24,440311,0,480670,0,,,,,
492456,96,447525,0,445411,64,486780,0,,,,,
499182,0,455448,48,452956,64,492890,0,,,,,
509178,0,460802,24,468012,64,501557,0,,,,,
515906,48,468862,0,475899,0,507667,0,,,,,
522601,96,476748,24,481009,0,513777,0,,,,,
532811,72,487472,24,488775,64,522863,0,,,,,
542611,96,495591,72,496173,32,531624,32,,,,,
549118,144,501235,48,501061,32,543393,0,,,,,
561324,336,509492,48,506290,0,554743,256,,,,,
569717,408,514957,72,514355,0,561432,64,,,,,
570134,432,519464,0,518632,0,566320,64,,,,,
574779,48,523775,72,523033,0,571518,64,,,,,
579109,48,525350,168,527310,0,576550,32,,,,,
583358,144,525637,192,531587,0,581586,64,,,,,
587753,120,530056,144,535864,0,586664,64,,,,,
592128,168,531463,216,540265,0,591618,64,,,,,
596492,168,531776,240,544501,64,,,,,,,
600965,264,536196,120,549171,96,,,,,,,
605851,192,540469,48,553495,0,,,,,,,
610363,48,544931,48,557881,0,,,,,,,
,,549467,72,562158,0,,,,,,,
,,553879,120,566371,64,,,,,,,
,,558248,120,570658,32,,,,,,,
,,562552,72,575120,64,,,,,,,
,,566807,96,579290,128,,,,,,,
,,571261,144,583486,64,,,,,,,
,,575593,72,587987,64,,,,,,,
,,,,592114,96,,,,,,,
,,,,596395,128,,,,,,,
,,,,600567,0,,,,,,,
,,,,604786,160,,,,,,,
,,,,609845,96,,,,,,,
,,,,614222,128,,,,,,,
,,,,617136,288,,,,,,,
,,,,617443,320,,,,,,,
,,,,620584,352,,,,,,,
,,,,620913,384,,,,,,,
,,,,628283,192,,,,,,,
,,,,632568,128,,,,,,,
,,,,636782,128,,,,,,,
,,,,641624,64,,,,,,,
,,,,645765,192,,,,,,,
,,,,649953,128,,,,,,,
,,,,654112,96,,,,,,,
,,,,659380,160,,,,,,,
,,,,683481,160,,,,,,,
,,,,687686,160,,,,,,,
,,,,691861,32,,,,,,,
,,,,696036,192,,,,,,,
,,,,700261,160,,,,,,,
,,,,704776,128,,,,,,,
,,,,709149,128,,,,,,,
